weeks_after,send_job_name,old_new_state,per_emailsegment_total,per_email_total,email_short,email_segment,perc_segmentemail_%
21,PRD_WM_Personalized_Newsletter_CC,Active - Inactive,1,5661,_CC,Active - Inactive-_CC,0.02
21,PRD_WM_Personalized_Newsletter_CC,AtRisk_Dec - AtRisk_Dec,67,5661,_CC,AtRisk_Dec - AtRisk_Dec-_CC,1.18
21,PRD_WM_Personalized_Newsletter_CC,AtRisk_Dec - Active,292,5661,_CC,AtRisk_Dec - Active-_CC,5.16
21,PRD_WM_Personalized_Newsletter_CC,Inactive - Active,282,5661,_CC,Inactive - Active-_CC,4.98
21,PRD_WM_Personalized_Newsletter_CC,Inactive - Inactive,929,5661,_CC,Inactive - Inactive-_CC,16.41
21,PRD_WM_Personalized_Newsletter_CC,Inactive - AtRisk_Dec,11,5661,_CC,Inactive - AtRisk_Dec-_CC,0.19
21,PRD_WM_Personalized_Newsletter_CC,Active - AtRisk_Dec,536,5661,_CC,Active - AtRisk_Dec-_CC,9.47
21,PRD_WM_Personalized_Newsletter_CC,Active - Active,3241,5661,_CC,Active - Active-_CC,57.25
21,PRD_WM_Personalized_Newsletter_CC,AtRisk_Dec - Inactive,302,5661,_CC,AtRisk_Dec - Inactive-_CC,5.33
17,PRD_WM_Personalized_Newsletter_CC,Active - AtRisk_Dec,498,6243,_CC,Active - AtRisk_Dec-_CC,7.98
17,PRD_WM_Personalized_Newsletter_CC,AtRisk_Dec - Active,451,6243,_CC,AtRisk_Dec - Active-_CC,7.22
17,PRD_WM_Personalized_Newsletter_CC,AtRisk_Dec - AtRisk_Dec,84,6243,_CC,AtRisk_Dec - AtRisk_Dec-_CC,1.35
17,PRD_WM_Personalized_Newsletter_CC,Inactive - Inactive,1246,6243,_CC,Inactive - Inactive-_CC,19.96
17,PRD_WM_Personalized_Newsletter_CC,Inactive - Active,528,6243,_CC,Inactive - Active-_CC,8.46
17,PRD_WM_Personalized_Newsletter_CC,Active - Inactive,2,6243,_CC,Active - Inactive-_CC,0.03
17,PRD_WM_Personalized_Newsletter_CC,Inactive - AtRisk_Dec,15,6243,_CC,Inactive - AtRisk_Dec-_CC,0.24
17,PRD_WM_Personalized_Newsletter_CC,Active - Active,3058,6243,_CC,Active - Active-_CC,48.98
17,PRD_WM_Personalized_Newsletter_CC,AtRisk_Dec - Inactive,361,6243,_CC,AtRisk_Dec - Inactive-_CC,5.78
13,PRD_WM_Personalized_Newsletter_CC,AtRisk_Dec - AtRisk_Dec,106,6518,_CC,AtRisk_Dec - AtRisk_Dec-_CC,1.63
13,PRD_WM_Personalized_Newsletter_CC,Active - AtRisk_Dec,663,6518,_CC,Active - AtRisk_Dec-_CC,10.17
13,PRD_WM_Personalized_Newsletter_CC,Active - Active,3184,6518,_CC,Active - Active-_CC,48.85
13,PRD_WM_Personalized_Newsletter_CC,Active - Inactive,1,6518,_CC,Active - Inactive-_CC,0.02
